0,1,2,postag
1,Presiden,O,NN
1,terpilih,O,VB
1,Joko,PER,NNP
1,Widodo,PER,NNP
1,mengungkapkan,O,VB
1,pihaknya,O,RB
1,tidak,O,NEG
1,akan,O,MD
1,membedakan,O,VB
1,spesifikasi,O,NN
1,kandidat,O,NN
1,menteri,O,NN
1,yang,O,SC
1,diusung,O,VB
1,oleh,O,IN
1,partai,O,NN
1,politik,O,NN
1,pengusung,O,NN
1,maupun,O,CC
1,pendukung,O,NN
1,.,O,Z
2,"""",O,Z
2,Ya,O,NNP
2,sama,O,JJ
2,dong,O,VB
2,.,O,Z
2,Masak,O,NNP
2,dibedakan,O,VB
2,",",O,Z
2,"""",O,Z
2,ujar,O,VB
2,Joko,PER,NNP
2,Widodo,PER,NNP
2,atau,O,CC
2,yang,O,SC
2,karib,O,JJ
2,disapa,O,WH
2,Jokowi,PER,NNP
2,di,O,IN
2,Kantor,LOC,NNP
2,Transisi,O,NNP
2,Joko,PER,NNP
2,Widodo,PER,NNP
2,-,O,NNP
2,Jusuf,PER,NNP
2,Kalla,PER,NNP
2,di,O,IN
2,Jalan,LOC,NNP
2,Situbondo,LOC,NNP
2,nomor,LOC,NN
2,10,LOC,CD
2,",",LOC,Z
2,Menteng,LOC,NNP
2,",",LOC,Z
2,Jakarta,LOC,NNP
2,Pusat,LOC,NNP
2,",",O,Z
2,Kamis,TIM,NNP
2,(,TIM,Z
2,25/9/2014,TIM,CD
2,),TIM,Z
2,.,O,Z
3,Jokowi,PER,NNP
3,mengatakan,O,VB
3,",",O,Z
3,meski,O,SC
3,memiliki,O,VB
3,hak,O,NN
3,prerogatif,O,JJ
3,memilih,O,VB
3,siapa,O,WH
3,menteri-menterinya,O,RB
3,",",O,Z
3,ia,O,PRP
3,tetap,O,RB
3,akan,O,MD
3,melakukan,O,VB
3,komunikasi,O,NN
3,dengan,O,IN
3,para,O,DT
3,ketua,O,NN
3,umum,O,JJ
3,partai,O,NN
3,mengenai,O,IN
3,menteri,O,NN
3,yang,O,SC
3,diusung,O,VB
3,parpol,O,NN
3,.,O,Z
4,"""",O,Z
4,Nanti,O,NN
4,dengan,O,IN
4,semua,O,CD
4,partai,O,NN
4,saya,O,PRP
4,akan,O,MD
4,berbicara,O,VB
4,.,O,Z
4,Tapi,O,CC
4,nama,O,NN
4,(,O,Z
4,menteri,O,NN
4,),O,Z
4,saja,O,RB
4,belum,O,NEG
4,",",O,Z
4,"""",O,Z
4,ucap,O,VB
4,Jokowi,PER,NNP
4,.,O,Z
5,Seperti,O,IN
5,diketahui,O,VB
5,",",O,Z
5,Jokowi-JK,O,NNP
5,telah,O,MD
5,menetapkan,O,VB
5,postur,O,NN
5,kabinetnya,O,RB
5,sebanyak,O,CD
5,34,O,CD
5,kementerian,O,NN
5,.,O,Z
6,Komposisi,O,NN
6,menteri,O,NN
6,pun,O,RP
6,dibagi,O,RB
6,dua:,O,VB
6,18,O,CD
6,menteri,O,NN
6,dari,O,IN
6,profesional,O,JJ
6,dan,O,CC
6,16,O,CD
