0,1,2,postag
1,Pengamat,O,NN
1,politik,O,NN
1,dari,O,IN
1,Universitas,ORG,NNP
1,Gadjah,ORG,NNP
1,Mada,ORG,NNP
1,",",O,Z
1,Arie,PER,NNP
1,Sudjito,PER,NNP
1,",",O,Z
1,menilai,O,VB
1,",",O,Z
1,keinginan,O,NN
1,Ketua,O,NNP
1,Umum,O,NNP
1,Partai,ORG,NNP
1,Golkar,ORG,NNP
1,Aburizal,PER,NNP
1,Bakrie,PER,NNP
1,untuk,O,SC
1,maju,O,VB
1,kembali,O,VB
1,sebagai,O,IN
1,ketua,O,NN
1,umum,O,JJ
1,merupakan,O,VB
1,pemaksaan,O,NN
1,kehendak,O,NN
1,.,O,Z
2,Menurut,O,IN
2,dia,O,PRP
2,",",O,Z
2,ada,O,VB
2,kesan,O,NN
2,bahwa,O,SC
2,Aburizal,PER,NNP
2,menggunakan,O,VB
2,segala,O,CD
2,cara,O,NN
2,untuk,O,SC
2,memuluskan,O,VB
2,jalannya,O,RB
2,kembali,O,VB
2,menduduki,O,VB
2,Golkar,ORG,NN
2,1,O,CD
2,.,O,Z
3,Hal,O,NN
3,ini,O,PR
3,",",O,Z
3,kata,O,VB
3,Arie,PER,NNP
3,",",O,Z
3,berpotensi,O,NN
3,menimbukan,O,VB
3,perpecahan,O,NN
3,di,O,IN
3,kalangan,O,NN
3,kader,O,NN
3,Golkar,ORG,NNP
3,di,O,IN
3,daerah,O,NN
3,.,O,Z
4,"""",O,Z
4,Tentu,O,RB
4,ini,O,PR
4,akan,O,MD
4,merugikan,O,VB
4,Golkar,ORG,NN
4,karena,O,SC
4,Golkar,ORG,NNP
4,akan,O,MD
4,pecah,O,VB
4,dan,O,CC
4,konflik,O,NN
4,di,O,IN
4,daerah,O,NN
4,dipastikan,O,VB
4,akan,O,MD
4,terjadi,O,VB
4,",",O,Z
4,"""",O,Z
4,ujar,O,VB
4,Arie,PER,NNP
4,",",O,Z
4,saat,O,NN
4,dihubungi,O,VB
4,Kompas.com,O,NNP
4,",",O,Z
4,Selasa,TIM,NNP
4,(,TIM,Z
4,2/12/2014,TIM,CD
4,),TIM,Z
4,.,O,Z
5,Arie,PER,NNP
5,mengatakan,O,VB
