0,1,2,postag
1,Luhut,PER,NNP
1,menjelaskan,O,VB
1,",",O,Z
1,operasi,O,NN
1,intelijen,O,NN
1,yang,O,SC
1,dimaksud,O,VB
1,bukan,O,NEG
1,dalam,O,IN
1,rangka,O,NN
1,mengirimkan,O,VB
1,pasukan,O,NN
1,khusus,O,JJ
1,ke,O,IN
1,wilayah,O,NN
1,Filipina,LOC,NNP
1,.,O,Z
2,Menurut,O,IN
2,Luhut,PER,NNP
2,",",O,Z
2,selama,O,IN
2,upaya,O,NN
2,pembebasan,O,NN
2,",",O,Z
2,Pemerintah,O,NNP
2,Indonesia,LOC,NNP
2,selalu,O,RB
2,berkoordinasi,O,VB
2,dengan,O,IN
2,Pemerintah,O,NNP
2,Filipina,LOC,NNP
2,dengan,O,IN
2,bertukar,O,NN
2,informasi,O,NN
2,",",O,Z
2,nasihat,O,VB
2,strategi,O,NN
2,",",O,Z
2,dan,O,CC
2,asistensi,O,NN
2,.,O,Z
3,Jaksa,O,NN
3,Agung,O,NNP
3,Prasetyo,PER,NNP
3,dan,O,CC
3,Menhub,O,NNP
3,Jonan,PER,NNP
3,menandatangani,O,VB
3,ini,O,PR
3,dihadapan,O,NN
3,beberapa,O,CD
3,staf,O,NN
3,kedua,O,CD
3,pihak,O,NN
3,.,O,Z
4,Saya,O,PRP
4,urut,O,VB
4,dari,O,IN
4,paling,O,RB
4,bawah,O,VB
4,masalah,O,NN
4,pengamanan,O,NN
4,aset,O,NN
4,",",O,Z
4,kalau,O,SC
4,dikumpulkan,O,VB
4,aset-aset,O,NN
4,negara,O,NN
4,atas,O,IN
4,nama,O,NN
4,Kemenhub,ORG,NNP
4,masih,O,MD
4,banyak,O,CD
4,yang,O,SC
4,tercecer,O,VB
4,di,O,IN
4,kiri,O,NN
4,kanannya,O,RB
4,.,O,Z
5,Jadi,O,VB
5,ini,O,PR
5,mohon,O,VB
5,bantuan,O,NN
5,bapak,O,NN
5,kerja,O,NN
5,samanya,O,RB
5,unutuk,O,VB
5,ditata,O,NN
5,ulang,O,VB
5,untuk,O,IN
5,kepentingan,O,NN
5,bangsa,O,NN
5,dan,O,CC
5,negara,O,NN
5,",",O,Z
5,"""",O,Z
5,kata,O,VB
5,Jonan,PER,NN
5,di,O,IN
5,Kejagung,LOC,NNP
5,",",O,Z
5,Jl,LOC,NNP
5,Sultan,LOC,NNP
5,Hasanuddin,LOC,NNP
5,",",O,Z
5,Jakarta,LOC,NNP
5,Selatan,LOC,NNP
5,",",O,Z
5,Kamis,TIM,NNP
5,(,TIM,Z
5,24/3/2016,TIM,CD
5,),TIM,Z
5,.,O,Z
6,Misal,O,NN
6,kalau,O,SC
6,Kemenhub,ORG,NNP
6,ingin,O,RB
6,ingin,O,RB
6,memperbaiki,O,VB
6,bandara,O,NN
6,",",O,Z
6,Jonan,PER,NN
6,bilang,O,NN
6,ada,O,VB
6,saja,O,RB
6,pihak,O,NN
6,yang,O,SC
6,menuntut,O,VB
6,.,O,Z
7,"""",O,Z
7,Ini,O,PR
7,diklaim,O,VB
7,bukan,O,NEG
7,aset,O,NN
7,negara,O,NN
7,kalau,O,SC
7,toh,O,VB
7,sudah,O,MD
7,bayar,O,VB
7,diklaim,O,VB
7,orang,O,NN
7,",",O,Z
7,kadang-kadang,O,NN
7,perluasan,O,NN
7,tanah,O,NN
7,sertifikat,O,NN
7,di,O,IN
7,Kemenhub,ORG,NNP
7,tapi,O,CC
7,penguasaan,O,NN
7,di,O,IN
7,orang,O,NN
